Date	Point
2021-12-01	104.8738
2021-12-02	107.4413
2021-12-03	101.2166
2021-12-06	101.0713
2021-12-07	107.0727
2021-12-08	109.2243
2021-12-09	105.3154
2021-12-10	104.6475
2021-12-13	103.7166
2021-12-14	100.2443
2021-12-15	103.1851
2021-12-16	98.3041
2021-12-17	100.7506
2021-12-20	99.6507
2021-12-21	104.2543
2021-12-22	104.6939
2021-12-23	104.8994
2021-12-27	105.6857
2021-12-28	103.8091
2021-12-29	103.588
2021-12-30	104.3022
2021-12-31	103.1637
2022-01-03	100.5353
2022-01-04	96.4126
2022-01-05	90.2229
2022-01-06	90.4838
2022-01-07	89.3826
2022-01-10	90.7415
2022-01-11	92.6253
2022-01-12	91.546
2022-01-13	85.8931
2022-01-14	85.6015
2022-01-18	83.2805
2022-01-19	83.3711
2022-01-20	83.0086
2022-01-21	80.0645
2022-01-24	83.0602
2022-01-25	78.8337
2022-01-26	77.7218
2022-01-27	77.3313
2022-01-28	81.311
2022-01-31	86.4218
2022-02-01	87.4863
2022-02-02	84.7431
2022-02-03	80.7977
2022-02-04	84.6741
2022-02-07	85.059
2022-02-08	86.7319
2022-02-09	90.3781
2022-02-10	89.8585
2022-02-11	86.0011
2022-02-14	86.0498
2022-02-15	88.393
2022-02-16	86.5963
2022-02-17	81.1435
2022-02-18	78.4557
2022-02-22	77.5389
2022-02-23	73.8071
2022-02-24	79.567
2022-02-25	79.669
2022-02-28	81.0171
2022-03-01	80.6603
2022-03-02	81.5152
2022-03-03	76.7377
2022-03-04	73.5267
2022-03-07	69.5502
2022-03-08	69.3238
2022-03-09	73.9022
2022-03-10	72.3726
2022-03-11	68.8943
2022-03-14	65.8055
2022-03-15	67.8297
2022-03-16	72.9091
2022-03-17	76.0726
2022-03-18	79.5261
2022-03-21	78.2163
2022-03-22	80.7295
2022-03-23	78.8047
2022-03-24	79.8899
2022-03-25	77.6175
2022-03-28	80.1637
2022-03-29	83.3544
2022-03-30	81.1328
2022-03-31	80.0862
2022-04-01	81.3388
2022-04-04	83.7089
2022-04-05	80.522
2022-04-06	77.2118
2022-04-07	77.3508
2022-04-08	75.3842
2022-04-11	75.4065
2022-04-12	74.9663
2022-04-13	77.632
2022-04-14	74.8416
2022-04-18	73.2139
2022-04-19	76.0288
2022-04-20	73.4933
2022-04-21	70.3846
2022-04-22	68.7558
2022-04-25	70.6626
2022-04-26	67.0689
2022-04-27	66.8771
2022-04-28	70.2213
2022-04-29	66.6667
2022-05-02	68.484
2022-05-03	67.1193
2022-05-04	69.8913
2022-05-05	64.0227
2022-05-06	61.1672
2022-05-09	56.1786
2022-05-10	56.3605
2022-05-11	53.2237
2022-05-12	54.5182
2022-05-13	59.5016
2022-05-16	56.3019
2022-05-17	56.8477
2022-05-18	54.0365
2022-05-19	56.372
2022-05-20	56.9647
2022-05-23	57.0317
2022-05-24	54.1465
2022-05-25	56.5244
2022-05-26	57.9926
2022-05-27	60.9022
2022-05-31	58.9737
2022-06-01	59.1262
2022-06-02	63.5844
2022-06-03	61.4811
2022-06-06	61.3466
2022-06-07	63.1488
2022-06-08	63.159
2022-06-09	61.1483
2022-06-10	57.8129
2022-06-13	53.5643
2022-06-14	53.6669
2022-06-15	55.8689
2022-06-16	52.5504
2022-06-17	54.5359
2022-06-21	55.8475
2022-06-22	56.3452
2022-06-23	59.8725
2022-06-24	62.9215
2022-06-27	61.4867
2022-06-28	58.4457
2022-06-29	58.4172
2022-06-30	56.8676
2022-07-01	58.5442
2022-07-05	61.6345
2022-07-06	61.1065
2022-07-07	62.7888
2022-07-08	62.4155
2022-07-11	60.6715
2022-07-12	57.3803
2022-07-13	57.0572
2022-07-14	55.7423
2022-07-15	57.2304
2022-07-18	56.9761
2022-07-19	58.3672
2022-07-20	61.7251
2022-07-21	62.9077
2022-07-22	60.6789
2022-07-25	59.4252
2022-07-26	56.6009
2022-07-27	59.4988
2022-07-28	60.5772
2022-07-29	61.4137
2022-08-01	61.7996
2022-08-02	62.7729
2022-08-03	65.8381
2022-08-04	66.309
2022-08-05	67.7531
2022-08-08	68.8252
2022-08-09	67.3266
2022-08-10	70.9649
2022-08-11	69.2671
2022-08-12	70.6199
2022-08-15	71.1071
2022-08-16	70.3186
2022-08-17	68.6076
2022-08-18	68.4889
2022-08-19	66.3151
2022-08-22	64.4147
2022-08-23	64.1681
2022-08-24	65.0833
2022-08-25	66.5018
2022-08-26	63.8605
2022-08-29	62.4735
2022-08-30	62.6631
2022-08-31	61.9842
2022-09-01	58.5975
2022-09-02	58.4649
2022-09-06	58.0732
2022-09-07	59.6372
2022-09-08	60.9368
2022-09-09	63.8117
2022-09-12	64.979
2022-09-13	61.31
2022-09-14	61.9804
2022-09-15	60.3831
2022-09-16	58.5138
2022-09-19	58.9116
2022-09-20	57.7346
2022-09-21	56.9288
2022-09-22	54.8939
2022-09-23	54.0507
2022-09-26	53.4359
2022-09-27	54.4404
2022-09-28	56.2178
2022-09-29	55.2338
2022-09-30	54.5169
2022-10-03	55.8581
2022-10-04	58.5905
2022-10-05	58.9182
2022-10-06	58.9623
2022-10-07	56.0035
2022-10-10	53.3776
2022-10-11	52.1974
2022-10-12	51.9599
2022-10-13	52.0359
2022-10-14	49.9364
2022-10-17	52.6034
2022-10-18	53.8935
2022-10-19	52.4158
2022-10-20	52.8558
2022-10-21	53.499
2022-10-24	53.4684
2022-10-25	56.1299
2022-10-26	54.7944
2022-10-27	55.811
2022-10-28	56.4794
2022-10-31	56.3591
2022-11-01	55.1305
2022-11-02	51.2989
2022-11-03	50.6609
2022-11-04	47.5555
2022-11-07	47.5357
2022-11-08	48.4984
2022-11-09	47.0304
2022-11-10	52.7306
2022-11-11	54.8416
2022-11-14	53.6419
2022-11-15	55.7835
2022-11-16	53.7158
2022-11-17	51.7025
2022-11-18	51.1633
2022-11-21	50.0626
2022-11-22	50.8032
2022-11-23	52.158
2022-11-25	51.919
2022-11-28	51.1912
2022-11-29	50.5601
2022-11-30	53.2709
2022-12-01	54.5528
2022-12-02	53.6722
2022-12-05	50.9119
2022-12-06	49.9546
2022-12-07	50.204
2022-12-08	52.0838
2022-12-09	51.8176
2022-12-12	53.5292
2022-12-13	54.7457
2022-12-14	54.8996
2022-12-15	52.654
2022-12-16	52.3729
2022-12-19	50.9277
2022-12-20	51.3097
2022-12-21	51.8915
2022-12-22	50.5009
2022-12-23	50.2795
2022-12-27	49.4962
2022-12-28	49.2296
2022-12-29	51.3299
2022-12-30	51.2104
2023-01-03	50.8884
2023-01-04	51.2246
2023-01-05	48.4549
2023-01-06	48.6843
2023-01-09	50.1973
2023-01-10	50.4605
2023-01-11	51.6248
2023-01-12	52.2093
2023-01-13	52.6541
2023-01-17	53.4549
2023-01-18	52.7439
2023-01-19	51.9251
2023-01-20	53.9346
