Cumulative return,Cumulative return,Cumulative return
STH SaaS Index,S&P 500,Nasdaq NDXT
0.00%,0.00%,0.00%
2.46%,-1.18%,1.03%
-3.34%,0.24%,-1.06%
-3.48%,-0.61%,-0.29%
2.46%,0.57%,3.68%
4.46%,2.64%,4.03%
0.89%,2.95%,1.97%
0.26%,2.23%,2.71%
-0.65%,3.18%,1.19%
-3.98%,2.27%,-0.23%
-1.07%,1.52%,2.81%
-5.79%,3.16%,-0.62%
-3.31%,2.28%,-0.35%
-4.39%,1.25%,-1.50%
0.23%,0.11%,1.99%
0.65%,1.89%,2.80%
0.85%,2.91%,3.61%
1.60%,3.53%,5.49%
-0.18%,4.92%,4.39%
-0.41%,4.82%,4.38%
0.29%,4.96%,4.18%
-0.79%,4.66%,3.54%
-3.32%,4.39%,3.43%
-7.42%,5.03%,1.79%
-13.84%,4.97%,-2.07%
-13.56%,3.03%,-1.27%
-14.78%,2.93%,-3.22%
-13.24%,2.53%,-2.64%
-11.16%,2.38%,-0.91%
-12.31%,3.30%,-0.68%
-18.46%,3.58%,-4.06%
-18.80%,2.16%,-2.65%
-21.51%,2.24%,-6.04%
-21.39%,0.40%,-7.23%
-21.81%,-0.57%,-8.72%
-25.36%,-1.67%,-11.24%
-21.57%,-3.56%,-9.59%
-26.65%,-3.29%,-13.66%
-28.05%,-4.50%,-13.36%
-28.57%,-4.65%,-15.66%
-23.43%,-5.19%,-12.29%
-17.15%,-2.76%,-7.26%
-15.92%,-0.87%,-6.65%
-19.07%,-0.18%,-5.78%
-23.73%,0.76%,-10.51%
-18.92%,-1.68%,-8.94%
-18.47%,-1.16%,-9.48%
-16.50%,-1.53%,-7.76%
-12.32%,-0.69%,-4.36%
-12.89%,0.76%,-6.53%
-17.17%,-1.05%,-10.77%
-17.09%,-2.95%,-10.60%
-14.36%,-3.33%,-6.89%
-16.46%,-1.76%,-7.51%
-22.76%,-1.67%,-11.71%
-26.03%,-3.79%,-13.51%
-27.22%,-4.50%,-13.93%
-32.00%,-5.52%,-16.43%
-24.22%,-7.36%,-11.20%
-24.08%,-5.86%,-10.18%
-22.39%,-3.63%,-9.75%
-22.85%,-3.87%,-11.61%
-21.80%,-5.42%,-9.49%
-27.65%,-3.55%,-12.08%
-31.87%,-4.08%,-14.51%
-37.23%,-4.87%,-19.48%
-37.54%,-7.82%,-19.52%
-30.96%,-8.55%,-14.85%
-33.02%,-5.98%,-16.77%
-37.81%,-6.41%,-20.00%
-42.26%,-7.70%,-23.32%
-39.18%,-8.44%,-20.01%
