Date	STH SaaS Index	S&P 500	Nasdaq NDXT
2021-12-03	0.00%	0.00%	0.00%
2021-12-06	2.45%	-1.18%	1.03%
2021-12-07	-3.35%	0.24%	-1.06%
2021-12-08	-3.49%	-0.61%	-0.29%
2021-12-09	2.45%	0.57%	3.68%
2021-12-10	4.46%	2.64%	4.03%
2021-12-13	0.88%	2.95%	1.97%
2021-12-14	0.25%	2.23%	2.71%
2021-12-15	-0.64%	3.18%	1.19%
2021-12-16	-3.99%	2.27%	-0.23%
2021-12-17	-1.06%	1.52%	2.81%
2021-12-20	-5.79%	3.16%	-0.62%
2021-12-21	-3.30%	2.28%	-0.35%
2021-12-22	-4.39%	1.25%	-1.50%
2021-12-23	0.23%	0.11%	1.99%
2021-12-27	0.65%	1.89%	2.80%
2021-12-28	0.85%	2.91%	3.61%
2021-12-29	1.60%	3.53%	5.49%
2021-12-30	-0.18%	4.92%	4.39%
2021-12-31	-0.39%	4.82%	4.38%
2022-01-03	0.30%	4.96%	4.18%
2022-01-04	-0.80%	4.66%	3.54%
2022-01-05	-3.34%	4.39%	3.43%
2022-01-06	-7.44%	5.03%	1.79%
2022-01-07	-13.86%	4.97%	-2.07%
2022-01-10	-13.57%	3.03%	-1.27%
2022-01-11	-14.79%	2.93%	-3.22%
2022-01-12	-13.27%	2.53%	-2.64%
2022-01-13	-11.20%	2.38%	-0.91%
2022-01-14	-12.36%	3.30%	-0.68%
2022-01-18	-18.54%	3.58%	-4.06%
2022-01-19	-18.87%	2.16%	-2.65%
2022-01-20	-21.59%	2.24%	-6.04%
2022-01-21	-21.48%	0.40%	-7.23%
2022-01-24	-21.91%	-0.57%	-8.72%
2022-01-25	-25.46%	-1.67%	-11.24%
2022-01-26	-21.72%	-3.56%	-9.59%
2022-01-27	-26.81%	-3.29%	-13.66%
2022-01-28	-28.22%	-4.50%	-13.36%
2022-01-31	-28.72%	-4.65%	-15.66%
2022-02-01	-23.57%	-5.19%	-12.29%
2022-02-02	-17.29%	-2.76%	-7.26%
2022-02-03	-16.06%	-0.87%	-6.65%
2022-02-04	-19.19%	-0.18%	-5.78%
2022-02-07	-23.85%	0.76%	-10.51%
2022-02-08	-19.05%	-1.68%	-8.94%
2022-02-09	-18.59%	-1.16%	-9.48%
2022-02-10	-16.63%	-1.53%	-7.76%
2022-02-11	-12.42%	-0.69%	-4.36%
2022-02-14	-13.00%	0.76%	-6.53%
2022-02-15	-17.29%	-1.05%	-10.77%
2022-02-16	-17.23%	-2.95%	-10.60%
2022-02-17	-14.51%	-3.33%	-6.89%
2022-02-18	-16.54%	-1.76%	-7.51%
2022-02-22	-22.84%	-1.67%	-11.71%
2022-02-23	-26.15%	-3.79%	-13.51%
2022-02-24	-27.32%	-4.50%	-13.93%
2022-02-25	-32.13%	-5.52%	-16.43%
2022-02-28	-24.33%	-7.36%	-11.20%
2022-03-01	-24.20%	-5.86%	-10.18%
2022-03-02	-22.51%	-3.63%	-9.75%
2022-03-03	-22.95%	-3.87%	-11.61%
2022-03-04	-21.89%	-5.42%	-9.49%
2022-03-07	-27.75%	-3.55%	-12.08%
2022-03-08	-31.94%	-4.08%	-14.51%
2022-03-09	-37.34%	-4.87%	-19.48%
2022-03-10	-37.67%	-7.82%	-19.52%
2022-03-11	-31.07%	-8.55%	-14.85%
2022-03-14	-33.14%	-5.98%	-16.77%
2022-03-15	-37.94%	-6.41%	-20.00%
2022-03-16	-42.42%	-7.70%	-23.32%
2022-03-17	-39.35%	-8.44%	-20.01%
