Date,STH SaaS Index,S&P 500,Nasdaq NDXT
12/3/2021 16:00:00,2.46%,-1.18%,1.03%
12/6/2021 16:00:00,-3.34%,0.24%,-1.06%
12/7/2021 16:00:00,-3.48%,-0.61%,-0.29%
12/8/2021 16:00:00,2.46%,0.57%,3.68%
12/9/2021 16:00:00,4.46%,2.64%,4.03%
12/10/2021 16:00:00,0.89%,2.95%,1.97%
12/13/2021 16:00:00,0.26%,2.23%,2.71%
12/14/2021 16:00:00,-0.65%,3.18%,1.19%
12/15/2021 16:00:00,-3.98%,2.27%,-0.23%
12/16/2021 16:00:00,-1.07%,1.52%,2.81%
12/17/2021 16:00:00,-5.79%,3.16%,-0.62%
12/20/2021 16:00:00,-3.31%,2.28%,-0.35%
12/21/2021 16:00:00,-4.39%,1.25%,-1.50%
12/22/2021 16:00:00,0.23%,0.11%,1.99%
12/23/2021 16:00:00,0.65%,1.89%,2.80%
12/27/2021 16:00:00,0.85%,2.91%,3.61%
12/28/2021 16:00:00,1.60%,3.53%,5.49%
12/29/2021 16:00:00,-0.18%,4.92%,4.39%
12/30/2021 16:00:00,-0.41%,4.82%,4.38%
12/31/2021 16:00:00,0.29%,4.96%,4.18%
1/3/2022 16:00:00,-0.79%,4.66%,3.54%
1/4/2022 16:00:00,-3.32%,4.39%,3.43%
1/5/2022 16:00:00,-7.42%,5.03%,1.79%
1/6/2022 16:00:00,-13.84%,4.97%,-2.07%
1/7/2022 16:00:00,-13.56%,3.03%,-1.27%
1/10/2022 16:00:00,-14.78%,2.93%,-3.22%
1/11/2022 16:00:00,-13.24%,2.53%,-2.64%
1/12/2022 16:00:00,-11.16%,2.38%,-0.91%
1/13/2022 16:00:00,-12.31%,3.30%,-0.68%
1/14/2022 16:00:00,-18.46%,3.58%,-4.06%
1/18/2022 16:00:00,-18.80%,2.16%,-2.65%
1/19/2022 16:00:00,-21.51%,2.24%,-6.04%
1/20/2022 16:00:00,-21.39%,0.40%,-7.23%
1/21/2022 16:00:00,-21.81%,-0.57%,-8.72%
1/24/2022 16:00:00,-25.36%,-1.67%,-11.24%
1/25/2022 16:00:00,-21.57%,-3.56%,-9.59%
1/26/2022 16:00:00,-26.65%,-3.29%,-13.66%
1/27/2022 16:00:00,-28.05%,-4.50%,-13.36%
1/28/2022 16:00:00,-28.57%,-4.65%,-15.66%
1/31/2022 16:00:00,-23.43%,-5.19%,-12.29%
2/1/2022 16:00:00,-17.15%,-2.76%,-7.26%
2/2/2022 16:00:00,-15.92%,-0.87%,-6.65%
2/3/2022 16:00:00,-19.07%,-0.18%,-5.78%
2/4/2022 16:00:00,-23.73%,0.76%,-10.51%
2/7/2022 16:00:00,-18.92%,-1.68%,-8.94%
2/8/2022 16:00:00,-18.47%,-1.16%,-9.48%
2/9/2022 16:00:00,-16.50%,-1.53%,-7.76%
2/10/2022 16:00:00,-12.32%,-0.69%,-4.36%
2/11/2022 16:00:00,-12.89%,0.76%,-6.53%
2/14/2022 16:00:00,-17.17%,-1.05%,-10.77%
2/15/2022 16:00:00,-17.09%,-2.95%,-10.60%
2/16/2022 16:00:00,-14.36%,-3.33%,-6.89%
2/17/2022 16:00:00,-16.46%,-1.76%,-7.51%
2/18/2022 16:00:00,-22.76%,-1.67%,-11.71%
2/22/2022 16:00:00,-26.03%,-3.79%,-13.51%
2/23/2022 16:00:00,-27.22%,-4.50%,-13.93%
2/24/2022 16:00:00,-32.00%,-5.52%,-16.43%
2/25/2022 16:00:00,-24.22%,-7.36%,-11.20%
2/28/2022 16:00:00,-24.08%,-5.86%,-10.18%
3/1/2022 16:00:00,-22.39%,-3.63%,-9.75%
3/2/2022 16:00:00,-22.85%,-3.87%,-11.61%
3/3/2022 16:00:00,-21.80%,-5.42%,-9.49%
3/4/2022 16:00:00,-27.65%,-3.55%,-12.08%
3/7/2022 16:00:00,-31.87%,-4.08%,-14.51%
3/8/2022 16:00:00,-37.23%,-4.87%,-19.48%
3/9/2022 16:00:00,-37.54%,-7.82%,-19.52%
3/10/2022 16:00:00,-30.96%,-8.55%,-14.85%
3/11/2022 16:00:00,-33.02%,-5.98%,-16.77%
3/14/2022 16:00:00,-37.81%,-6.41%,-20.00%
3/15/2022 16:00:00,-42.26%,-7.70%,-23.32%
3/16/2022 16:00:00,-39.18%,-8.44%,-20.01%
3/17/2022 16:00:00,-31.71%,-6.30%,-14.34%
3/18/2022 16:00:00,-27.39%,-4.07%,-12.92%
3/21/2022 16:00:00,-22.92%,-2.83%,-9.97%
3/22/2022 16:00:00,-24.57%,-1.66%,-10.72%
3/23/2022 16:00:00,-21.37%,-1.71%,-8.63%
3/24/2022 16:00:00,-23.75%,-0.58%,-10.98%
3/25/2022 16:00:00,-22.37%,-1.81%,-7.84%
3/28/2022 16:00:00,-25.21%,-0.37%,-8.68%
3/29/2022 16:00:00,-21.95%,0.14%,-7.04%
3/30/2022 16:00:00,-17.97%,0.85%,-4.76%
3/31/2022 16:00:00,-20.62%,2.08%,-6.95%
4/1/2022 16:00:00,-21.92%,1.45%,-8.33%
