Date,YC Post-IPO Index,S&P 500,Nasdaq NDXT
1-Dec-2021,0.00%,0.00%,0.00%
2-Dec-2021,-4.18%,-1.18%,1.03%
3-Dec-2021,-13.88%,0.24%,-1.06%
6-Dec-2021,-12.18%,-0.61%,-0.29%
7-Dec-2021,-6.17%,0.57%,3.68%
8-Dec-2021,-5.48%,2.64%,4.03%
9-Dec-2021,-8.74%,2.95%,1.97%
10-Dec-2021,-10.27%,2.23%,2.71%
13-Dec-2021,-19.07%,3.18%,1.19%
14-Dec-2021,-21.56%,2.27%,-0.23%
15-Dec-2021,-19.87%,1.52%,2.81%
16-Dec-2021,-22.89%,3.16%,-0.62%
17-Dec-2021,-21.25%,2.28%,-0.35%
20-Dec-2021,-25.51%,1.25%,-1.50%
21-Dec-2021,-22.27%,0.11%,1.99%
22-Dec-2021,-23.36%,1.89%,2.80%
23-Dec-2021,-23.22%,2.91%,3.61%
27-Dec-2021,-25.53%,3.53%,5.49%
28-Dec-2021,-29.99%,4.92%,4.39%
29-Dec-2021,-33.95%,4.82%,4.38%
30-Dec-2021,-33.67%,4.96%,4.18%
31-Dec-2021,-34.68%,4.66%,3.54%
3-Jan-2022,-34.60%,4.39%,3.43%
4-Jan-2022,-42.52%,5.03%,1.79%
5-Jan-2022,-43.60%,4.97%,-2.07%
6-Jan-2022,-46.17%,3.03%,-1.27%
7-Jan-2022,-40.67%,2.93%,-3.22%
10-Jan-2022,-43.19%,2.53%,-2.64%
11-Jan-2022,-39.82%,2.38%,-0.91%
12-Jan-2022,-35.19%,3.30%,-0.68%
13-Jan-2022,-38.98%,3.58%,-4.06%
14-Jan-2022,-37.08%,2.16%,-2.65%
18-Jan-2022,-42.21%,2.24%,-6.04%
19-Jan-2022,-46.46%,0.40%,-7.23%
20-Jan-2022,-46.93%,-0.57%,-8.72%
21-Jan-2022,-54.66%,-1.67%,-11.24%
24-Jan-2022,-56.54%,-3.56%,-9.59%
25-Jan-2022,-56.88%,-3.29%,-13.66%
26-Jan-2022,-53.53%,-4.50%,-13.36%
27-Jan-2022,-64.25%,-4.65%,-15.66%
28-Jan-2022,-65.35%,-5.19%,-12.29%
31-Jan-2022,-48.90%,-2.76%,-7.26%
1-Feb-2022,-48.72%,-0.87%,-6.65%
2-Feb-2022,-50.20%,-0.18%,-5.78%
3-Feb-2022,-49.94%,0.76%,-10.51%
4-Feb-2022,-42.77%,-1.68%,-8.94%
7-Feb-2022,-41.69%,-1.16%,-9.48%
8-Feb-2022,-42.75%,-1.53%,-7.76%
9-Feb-2022,-32.91%,-0.69%,-4.36%
10-Feb-2022,-37.81%,0.76%,-6.53%
11-Feb-2022,-46.72%,-1.05%,-10.77%
14-Feb-2022,-60.28%,-2.95%,-10.60%
15-Feb-2022,-59.00%,-3.33%,-6.89%
16-Feb-2022,-66.58%,-1.76%,-7.51%
17-Feb-2022,-77.59%,-1.67%,-11.71%
18-Feb-2022,-79.93%,-3.79%,-13.51%
22-Feb-2022,-84.76%,-4.50%,-13.93%
23-Feb-2022,-87.50%,-5.52%,-16.43%
24-Feb-2022,-81.90%,-7.36%,-11.20%
25-Feb-2022,-82.54%,-5.86%,-10.18%
28-Feb-2022,-80.09%,-3.63%,-9.75%
1-Mar-2022,-79.67%,-3.87%,-11.61%
2-Mar-2022,-83.21%,-5.42%,-9.49%
3-Mar-2022,-85.47%,-3.55%,-12.08%
4-Mar-2022,-88.08%,-4.08%,-14.51%
7-Mar-2022,-92.53%,-4.87%,-19.48%
8-Mar-2022,-90.97%,-7.82%,-19.52%
9-Mar-2022,-83.19%,-8.55%,-14.85%
10-Mar-2022,-87.33%,-5.98%,-16.77%
11-Mar-2022,-95.63%,-6.41%,-20.00%
14-Mar-2022,-100.65%,-7.70%,-23.32%
15-Mar-2022,-96.45%,-8.44%,-20.01%
16-Mar-2022,-89.29%,-6.30%,-14.34%
17-Mar-2022,-75.88%,-4.07%,-12.92%
18-Mar-2022,-71.29%,-2.83%,-9.97%
21-Mar-2022,-73.85%,-1.66%,-10.72%
22-Mar-2022,-65.70%,-1.71%,-8.63%
23-Mar-2022,-65.92%,-0.58%,-10.98%
24-Mar-2022,-59.17%,-1.81%,-7.84%
25-Mar-2022,-59.51%,-0.37%,-8.68%
28-Mar-2022,-63.72%,0.14%,-7.04%
29-Mar-2022,-57.93%,0.85%,-4.76%
30-Mar-2022,-56.58%,2.08%,-6.95%
31-Mar-2022,-53.91%,1.45%,-8.33%
1-Apr-2022,-54.51%,-0.12%,-8.54%
4-Apr-2022,-50.81%,0.22%,-6.22%
5-Apr-2022,-58.63%,1.03%,-9.78%
6-Apr-2022,-61.21%,-0.22%,-12.47%
7-Apr-2022,-25.73%,-1.20%,-12.18%
8-Apr-2022,-33.04%,-0.77%,-14.17%
11-Apr-2022,-34.95%,-1.04%,-15.98%
12-Apr-2022,-43.80%,-2.72%,-16.67%
